,rawContent,caseFolding,cleaning,tokenizing,tweet_tokens_fdist,stopword,tweet_tokens_normalized,tweet_tokens_stemmed
1,Masa masih legend udh di lock,masa masih legend udh di lock,masa masih legend udh di lock,"['masa', 'masih', 'legend', 'udh', 'di', 'lock']",<FreqDist with 6 samples and 6 outcomes>,"['legend', 'udh', 'lock']","['legend', 'sudah,', 'lock']","['legend', 'sudah', 'lock']"
2,GAME SAMPAH GAME PENUH KECURANGAN DARI MOONTON.,game sampah game penuh kecurangan dari moonton.,game sampah game penuh kecurangan dari moonton,"['game', 'sampah', 'game', 'penuh', 'kecurangan', 'dari', 'moonton']",<FreqDist with 6 samples and 7 outcomes>,"['game', 'sampah', 'game', 'penuh', 'kecurangan', 'moonton']","['gim,', 'sampah', 'gim,', 'penuh', 'kecurangan', 'moonton']","['gim', 'sampah', 'gim', 'penuh', 'curang', 'moonton']"
3,Makin parah sekarang banyak dark sistemm bagus main di game sebelah,makin parah sekarang banyak dark sistemm bagus main di game sebelah,makin parah sekarang banyak dark sistemm bagus main di game sebelah,"['makin', 'parah', 'sekarang', 'banyak', 'dark', 'sistemm', 'bagus', 'main', 'di', 'game', 'sebelah']",<FreqDist with 11 samples and 11 outcomes>,"['parah', 'dark', 'sistemm', 'bagus', 'main', 'game', 'sebelah']","['parah', 'dark', 'sistemm', 'bagus', 'main', 'gim,', 'sebelah']","['parah', 'dark', 'sistemm', 'bagus', 'main', 'gim', 'belah']"
4,dark sytem,dark sytem,dark sytem,"['dark', 'sytem']",<FreqDist with 2 samples and 2 outcomes>,"['dark', 'sytem']","['dark', 'sytem']","['dark', 'sytem']"
5,game nya ga seru tidak bisa menyeimbangkan pemain sampai lose streak beberapa kali,game nya ga seru tidak bisa menyeimbangkan pemain sampai lose streak beberapa kali,game nya ga seru tidak bisa menyeimbangkan pemain sampai lose streak beberapa kali,"['game', 'nya', 'ga', 'seru', 'tidak', 'bisa', 'menyeimbangkan', 'pemain', 'sampai', 'lose', 'streak', 'beberapa', 'kali']",<FreqDist with 13 samples and 13 outcomes>,"['game', 'seru', 'menyeimbangkan', 'pemain', 'lose', 'streak', 'kali']","['gim,', 'seru', 'menyeimbangkan', 'pemain,', 'lose', 'streak', 'kali']","['gim', 'seru', 'imbang', 'main', 'lose', 'streak', 'kali']"
6,anjing lah monton kasih tim ga imbang bngst di glori masih ada aja payer yang tolol ya minta amupun. Minta tolong untuk bisa membuat game yang draf pick yang imbang,anjing lah monton kasih tim ga imbang bngst di glori masih ada aja payer yang tolol ya minta amupun. minta tolong untuk bisa membuat game yang draf pick yang imbang,anjing lah monton kasih tim ga imbang bngst di glori masih ada aja payer yang tolol ya minta amupun minta tolong untuk bisa membuat game yang draf pick yang imbang,"['anjing', 'lah', 'monton', 'kasih', 'tim', 'ga', 'imbang', 'bngst', 'di', 'glori', 'masih', 'ada', 'aja', 'payer', 'yang', 'tolol', 'ya', 'minta', 'amupun', 'minta', 'tolong', 'untuk', 'bisa', 'membuat', 'game', 'yang', 'draf', 'pick', 'yang', 'imbang']",<FreqDist with 26 samples and 30 outcomes>,"['anjing', 'monton', 'kasih', 'tim', 'imbang', 'bngst', 'glori', 'payer', 'tolol', 'amupun', 'tolong', 'game', 'draf', 'pick', 'imbang']","['anjing', 'moonton,', 'kasih', 'tim', 'imbang', 'bngst', 'glori', 'payer', 'bodoh,', 'amupun', 'tolong', 'gim,', 'draf', 'pick', 'imbang']","['anjing', 'moonton', 'kasih', 'tim', 'imbang', 'bngst', 'glori', 'payer', 'bodoh', 'amupun', 'tolong', 'gim', 'draf', 'pick', 'imbang']"
7,Lebih mending main Honor of King ini mah banyak dark sistemnya,lebih mending main honor of king ini mah banyak dark sistemnya,lebih mending main honor of king ini mah banyak dark sistemnya,"['lebih', 'mending', 'main', 'honor', 'of', 'king', 'ini', 'mah', 'banyak', 'dark', 'sistemnya']",<FreqDist with 11 samples and 11 outcomes>,"['mending', 'main', 'honor', 'of', 'king', 'mah', 'dark', 'sistemnya']","['lebihbaik,', 'main', 'honor', 'of', 'king', 'mah', 'dark', 'sistemnya']","['lebihbaik', 'main', 'honor', 'of', 'king', 'mah', 'dark', 'sistem']"
8,Hari game BB tidak ada event Langsung Hapus gamenya. Terimakasih.,hari game bb tidak ada event langsung hapus gamenya. terimakasih.,hari game bb tidak ada event langsung hapus gamenya terimakasih,"['hari', 'game', 'bb', 'tidak', 'ada', 'event', 'langsung', 'hapus', 'gamenya', 'terimakasih']",<FreqDist with 10 samples and 10 outcomes>,"['game', 'bb', 'event', 'langsung', 'hapus', 'gamenya', 'terimakasih']","['gim,', 'bb', 'kegiatan,', 'langsung', 'hapus', 'gim,', 'terimakasih,']","['gim', 'bb', 'giat', 'langsung', 'hapus', 'gim', 'terimakasih']"
9,tolong perpindahan akun fb benerin lagi saya mau masuk pake akun fb gak bisa malah bulak balik lagi tolong kerjasamanya,tolong perpindahan akun fb benerin lagi saya mau masuk pake akun fb gak bisa malah bulak balik lagi tolong kerjasamanya,tolong perpindahan akun fb benerin lagi saya mau masuk pake akun fb gak bisa malah bulak balik lagi tolong kerjasamanya,"['tolong', 'perpindahan', 'akun', 'fb', 'benerin', 'lagi', 'saya', 'mau', 'masuk', 'pake', 'akun', 'fb', 'gak', 'bisa', 'malah', 'bulak', 'balik', 'lagi', 'tolong', 'kerjasamanya']",<FreqDist with 16 samples and 20 outcomes>,"['tolong', 'perpindahan', 'akun', 'fb', 'benerin', 'masuk', 'pake', 'akun', 'fb', 'bulak', 'tolong', 'kerjasamanya']","['tolong', 'perpindahan', 'akun', 'facebook,', 'perbaiki,', 'masuk', 'pakai,', 'akun', 'facebook,', 'bulak', 'tolong', 'kerjasamanya']","['tolong', 'pindah', 'akun', 'facebook', 'baik', 'masuk', 'pakai', 'akun', 'facebook', 'bulak', 'tolong', 'kerjasamanya']"
10,Game Dajjal udh pke wifi Masi ngeleg bikin stres semoga perusahaan montooon bangkrut/tidak ada yg mau main montoon nak Dajjal bekas kaos kaki Dajjal udh perusahaan haram mending hapus ae game haram menjijikan + anak Dajjal babi bangsat Mampus,game dajjal udh pke wifi masi ngeleg bikin stres semoga perusahaan montooon bangkrut/tidak ada yg mau main montoon nak dajjal bekas kaos kaki dajjal udh perusahaan haram mending hapus ae game haram menjijikan + anak dajjal babi bangsat mampus,game dajjal udh pke wifi masi ngeleg bikin stres semoga perusahaan montooon bangkruttidak ada yg mau main montoon nak dajjal bekas kaos kaki dajjal udh perusahaan haram mending hapus ae game haram menjijikan anak dajjal babi bangsat mampus,"['game', 'dajjal', 'udh', 'pke', 'wifi', 'masi', 'ngeleg', 'bikin', 'stres', 'semoga', 'perusahaan', 'montooon', 'bangkruttidak', 'ada', 'yg', 'mau', 'main', 'montoon', 'nak', 'dajjal', 'bekas', 'kaos', 'kaki', 'dajjal', 'udh', 'perusahaan', 'haram', 'mending', 'hapus', 'ae', 'game', 'haram', 'menjijikan', 'anak', 'dajjal', 'babi', 'bangsat', 'mampus']",<FreqDist with 31 samples and 38 outcomes>,"['game', 'dajjal', 'udh', 'pke', 'wifi', 'masi', 'ngeleg', 'stres', 'semoga', 'perusahaan', 'montooon', 'bangkruttidak', 'main', 'montoon', 'nak', 'dajjal', 'bekas', 'kaos', 'kaki', 'dajjal', 'udh', 'perusahaan', 'haram', 'mending', 'hapus', 'ae', 'game', 'haram', 'menjijikan', 'anak', 'dajjal', 'babi', 'bangsat', 'mampus']","['gim,', 'dajjal', 'sudah,', 'pakai,', 'wifi', 'masih,', 'ngeleg', 'stres', 'semoga', 'perusahaan', 'montooon', 'bangkruttidak', 'main', 'montoon', 'hendak,', 'dajjal', 'bekas', 'kaos', 'kaki', 'dajjal', 'sudah,', 'perusahaan', 'haram', 'lebihbaik,', 'hapus', 'ae', 'gim,', 'haram', 'menjijikan', 'anak', 'dajjal', 'babi', 'bangsat', 'mampus']","['gim', 'dajjal', 'sudah', 'pakai', 'wifi', 'masih', 'ngeleg', 'stres', 'moga', 'usaha', 'montooon', 'bangkruttidak', 'main', 'montoon', 'hendak', 'dajjal', 'bekas', 'kaos', 'kaki', 'dajjal', 'sudah', 'usaha', 'haram', 'lebihbaik', 'hapus', 'ae', 'gim', 'haram', 'jijik', 'anak', 'dajjal', 'babi', 'bangsat', 'mampus']"
