userName,rawContent,status,kelas
Nilnal Muna,Aplikasi ini lumayan untuk melihat nomor kita di namain apa,5,Positif
Meylani Ridwan,Apaan ini aplikasi baru aja mau daftar malah logout,2,Negatif
Bela Bela,Saya suka banget sama aplikasi getcontact ini the best pokoknya,5,Positif
Abieb Choir,sangat membantu supaya tidak ada panggilan penipuan lagi,5,Positif
Amanatun Musafaah,Bagus banget aplikasinya cukup membantu,5,Positif
Dian,"Bagus banget, bisa membantu ketika ada nomor gk di kenal menghubungi 👍🏻👍🏻",5,Positif
Aneka Serba,Semoga menjadi lebih baik dan sukses,5,Positif
Nabeela Maretha,Bagus banget wajib di coba,5,Positif
Ibnu Sina Maulana,"Aplikasi yang bagus, cocok banget sama gw yang kepo sama nomor baru.",5,Positif
Rindang Ayu Rizky Lestari,"Sudah banget mau log in, biasanya mudah banget, knapa jadi gini sih ? Tolong diperbaiki lagi",1,Negatif
Jelita eka Nurfauziah,100% jelek banget ni apk dan jdi jelek ny itu smnjak di up,1,Negatif
Onki Hertawan,Fasilitas yg gratisan sedikit,4,Positif
Sulistyo Rini,"Knp get kontak harus membayar, pdhl sangat dibutuhkan",1,Negatif
Siti Safaria,"Susah login, padahal jaringan bagus dan sudah berulang kali memVerifikasi ke watsaap juga tidak berhasil, lewat jalur lain bahkan lewat no tlpn pun tdk berhasil.",1,Negatif
Tri Haryanto,"Sangat membantu, mengidentifikasi, yg baik dan yg buruk. Tks.",5,Positif
bocil 13 Th,Keren banget bisa melacak seseorang itu soap dari nomor telephone aja,5,Positif
Widya Ayu,"Uhh gk bisa di buka aplikasinya, sungguh mengecewakan sekali udh download nunggu sampai satu jam eh malah gk bisa aplikasinya, ngabis-ngabisin paketan aja 😤",1,Negatif
mipapaya family,"Dulu apk nya baguss.. tapi sekarang bener² makin jlk.. cuman login doang susah banget, semuanya gk bisa, yg paling gampang pke fb juga gk bisa",1,Negatif
Dymas Aja,Getcontact ini sangat berguna buat saya agar bisa melihat nomor yang tidak di kenal,5,Positif
Indra Yana,Bagus tapi suka ada yang premium,5,Positif
Indah Yani,"Ga bisa dikirim kode nya, padahal WhatsApp saya aktif huhu",1,Negatif
m medeia,Pengen bayar tarif harus punya kartu kredit atau PayPal.. Lewat pembayaran lain kaga bisa ya,1,Negatif
Eteuwy Whwhwh,Minta tolong hapus apk ini / getkontak di hapus dari play store yah karena menimbulkan kesalahan pahaman dan penipuan dan saya di save sama teman dengan nama yg tidak pantas dan menimbulkan temen yg sudah mempercayai saya seketika hilang kepercayaan itu kepada saya terimakasih,1,Negatif
Muhammad Wildan,"Apaan dah, udh beli premium buat ngecek nomor malah disuruh beli lg, dasar!!!",1,Negatif
Sofia sinaga,Bagus bisa tau klo ada nomor ga di kenal,5,Positif
Fajrin Wani,Aplikasi yang sangat membantu kita dari Penipu2 jahanam,5,Positif
