rawContent,status,kelas
Masa masih legend udh di lock,1,negatif
GAME SAMPAH GAME PENUH KECURANGAN DARI MOONTON.,1,negatif
Makin parah sekarang banyak dark sistemm bagus main di game sebelah,1,negatif
dark sytem,1,negatif
game nya ga seru tidak bisa menyeimbangkan pemain sampai lose streak beberapa kali,1,negatif
anjing lah monton kasih tim ga imbang bngst di glori masih ada aja payer yang tolol ya minta amupun. Minta tolong untuk bisa membuat game yang draf pick yang imbang,1,negatif
Lebih mending main Honor of King ini mah banyak dark sistemnya,1,negatif
Hari game BB tidak ada event Langsung Hapus gamenya. Terimakasih.,1,negatif
tolong perpindahan akun fb benerin lagi saya mau masuk pake akun fb gak bisa malah bulak balik lagi tolong kerjasamanya,1,negatif
Game Dajjal udh pke wifi Masi ngeleg bikin stres semoga perusahaan montooon bangkrut/tidak ada yg mau main montoon nak Dajjal bekas kaos kaki Dajjal udh perusahaan haram mending hapus ae game haram menjijikan + anak Dajjal babi bangsat Mampus,1,negatif
Bodoh moonton tolol ngasih team kek babi,1,negatif
pembagian tim gak seimbang sangat mengganggu dan membuat game ini menjadi kurang seru,1,negatif
Banyak dark sistem males main BURIK,1,negatif
Dark sistem anjing game setingan tolol,1,negatif
gabut aja,1,negatif
Gambarnya tidak bagus..Game tai... Lelet padahal jaringan gua bagus... Sistem berlebihan.. jangan di download,1,negatif
game ampas banyak dark sistem bug dan lain lain,1,negatif
P mabar yg lebih seru,1,negatif
banyak bocah ingusan ni min mager gua ngerank,1,negatif
pliss lah masaalh lawan ssh kali lah dark system,2,negatif
Aku sering main cuma ya di kasih kalah menang kalah kalah kalah kalah kalah menang kalah kalah terus muntun tolong lah kasih tim yang bener aku 2 tahun stack di epikðŸ—¿ pliss,2,negatif
pindah aj lh bnyk tim ga seimbang msa gw glory b63 ktemu glory b50 ap cb udahlah banyak omong lagi dh s gw,2,negatif
Kalo ngasih tim yg bener lah,2,negatif
ini aneh bgt sih masa tiap abis login trus ada di lobi 2 menit langsung ulang login lagi sih,2,negatif
monton pasti kalo mau naik dikasih musuh yang pro aku main sebulan ngestack di gm 1 pasti kalo mau naik epic susah,2,negatif
banyak makan penyimpanan,2,negatif
buat yang sinyalnya sering lag mndng pindah ke game sebelah dehh disana sinyalnya ijo truss jadi ga keganggu sinyal pas main,2,negatif
game nya jahat suka bgt ngasi tim jelek AKU UDA JAGO MALAH DI COMEBACK???????? maafya tapi aku sedi bgt makanya aku kasi bintang 2 aja biar kaya rank aku epic 2 bintang 2!!!!!!!!,2,negatif
lol dark sistem tim nya lol semua,2,negatif
Kebanyakan dark sistem. .,2,negatif
"game"" bisa bikin skin bisa tapi monton ga bisa ngasi tim yg adil anjing gw di kasih dark sistem mulu kont*l",2,negatif
Game yang sangat bagus cocok untuk anak dibawah 6 tahun playernya juga ramahÂ² terutama player inisial Jawa dengan kearifan bertutur katanya yg sangat sopanâ˜ºï¸,2,negatif
Bad games,2,negatif
Susah,2,negatif
Tolong hapus invalid di rank mytik kalo tidak pihak yang tidak menyerah tetap tambanh bintang yang nyerah tidak hilang bintang terima kasih karna sangat membuang waktu.,2,negatif
Sering bgt kalah trus dikasih tim yg ga bisa main main di rank mytic di kasih tim rank epic pokoknya sesek sama sistem nya moonton,2,negatif
honor of king dah mau rilis wkwkwkwk.... Banyakin event skin gratis colector kalo bisa :),2,negatif
Mohon maaf pihak monton harap memperbaiki prihal bug yg terjadi saat dalam pertandingan sering jalan sendiri macet trs tiba-tiba setingan berubah sendiri harap di tingkat kan LG mohon kerjasamanya ðŸ™ðŸ™ðŸ™,2,negatif
yg komen bgus fix mentalnya kena kecewa sama draf sistemnya.,2,negatif
Seberapa banyak lu kasih skin gratis ke kita kita pasti pindah ke Honor of King kita semua cape dapat tim jelek rata rata bocil jokian yg main bb Ga ada yang mau main game lu lagi kecuali para bocil jokian sama penjoki,2,negatif
Kalau ada player afk atau feed kashi hukuman yang lebih berat dong cape ketemu orang orang begituan,2,negatif
Malah nambah Stress,2,negatif
Game ny burik gk guna ngasih tim yg bot game tolol,2,negatif
Plis dong kalo mvp jangan cuman di lihat dari kill Dead and asist nya doang liat juga koin nya level nya cara bermain nya Gk adil mana saya sering gk dapet asist Padahal selalu bantuin tim buat ngekill,2,negatif
Di tempat saya jaringannya kadang hilang jadi tolong untuk developer menambah batas pemulihan kredit skor dari 3 ke 6 karena tingkat pengurangan kredit skor sangat tinggi apalagi kalau kena report,2,negatif
kalo ngasih tim itu yg bener dong monton masak gw maen lose 15Ã— win cuman 5Ã— gema apaan tiap maen selalu di kasih tim yg TOLOL mulu paan kanjingud,2,negatif
Kurang bagus,2,negatif
menurut saya game ini harus di kembangkang lagi deh karna game ini suka gak jelas harus download secara tiba tiba jaringan sih paling parah lag banget padahal jaringan 70ms kebawah tapi kaya 201 ms jadi tolong perbaiki atau saya pindah game ke saja,2,negatif
Sinyal bgus kok tibaÂ² jadi merah gamenya gak enak bgt sekrg,2,negatif
Game apa nih pilih kasih kda gw aja 7.3.4 Di kasih coklat sedangkan temen gw mm kda 1.8.4 silver pilih kasih banget,2,negatif
halo min saya kasih bintang 4 untuk game ini. Game ini sudah bagus dari segi grafis apalagi yang iltra udah bagus banget. Heronya juga gak ada bug lagi yang aku temui,4,positif
sejauh ini mobile legend bagus. Dan menurutku mlbb adalah permainan moba terbaik. Ada banyak sekali hero dengan berbagai role yang pengguna bisa kuasai,4,positif
