rawContent,status
Masa masih legend udh di lock,1
GAME SAMPAH GAME PENUH KECURANGAN DARI MOONTON.,1
Makin parah sekarang banyak dark sistemm bagus main di game sebelah,1
dark sytem,1
game nya ga seru tidak bisa menyeimbangkan pemain sampai lose streak beberapa kali,1
anjing lah monton kasih tim ga imbang bngst di glori masih ada aja payer yang tolol ya minta amupun. Minta tolong untuk bisa membuat game yang draf pick yang imbang,1
Lebih mending main Honor of King ini mah banyak dark sistemnya,1
Hari game BB tidak ada event Langsung Hapus gamenya. Terimakasih.,1
tolong perpindahan akun fb benerin lagi saya mau masuk pake akun fb gak bisa malah bulak balik lagi tolong kerjasamanya,1
Game Dajjal udh pke wifi Masi ngeleg bikin stres semoga perusahaan montooon bangkrut/tidak ada yg mau main montoon nak Dajjal bekas kaos kaki Dajjal udh perusahaan haram mending hapus ae game haram menjijikan + anak Dajjal babi bangsat Mampus,1
Bodoh moonton tolol ngasih team kek babi,1
pembagian tim gak seimbang sangat mengganggu dan membuat game ini menjadi kurang seru,1
Banyak dark sistem males main BURIK,1
Dark sistem anjing game setingan tolol,1
gabut aja,1
Gambarnya tidak bagus..Game tai... Lelet padahal jaringan gua bagus... Sistem berlebihan.. jangan di download,1
game ampas banyak dark sistem bug dan lain lain,1
P mabar yg lebih seru,1
banyak bocah ingusan ni min mager gua ngerank,1
pliss lah masaalh lawan ssh kali lah dark system,2
Aku sering main cuma ya di kasih kalah menang kalah kalah kalah kalah kalah menang kalah kalah terus muntun tolong lah kasih tim yang bener aku 2 tahun stack di epikðŸ—¿ pliss,2
pindah aj lh bnyk tim ga seimbang msa gw glory b63 ktemu glory b50 ap cb udahlah banyak omong lagi dh s gw,2
Kalo ngasih tim yg bener lah,2
ini aneh bgt sih masa tiap abis login trus ada di lobi 2 menit langsung ulang login lagi sih,2
monton pasti kalo mau naik dikasih musuh yang pro aku main sebulan ngestack di gm 1 pasti kalo mau naik epic susah,2
banyak makan penyimpanan,2
buat yang sinyalnya sering lag mndng pindah ke game sebelah dehh disana sinyalnya ijo truss jadi ga keganggu sinyal pas main,2
game nya jahat suka bgt ngasi tim jelek AKU UDA JAGO MALAH DI COMEBACK???????? maafya tapi aku sedi bgt makanya aku kasi bintang 2 aja biar kaya rank aku epic 2 bintang 2!!!!!!!!,2
lol dark sistem tim nya lol semua,2
Kebanyakan dark sistem. .,2
"game"" bisa bikin skin bisa tapi monton ga bisa ngasi tim yg adil anjing gw di kasih dark sistem mulu kont*l",2
Game yang sangat bagus cocok untuk anak dibawah 6 tahun playernya juga ramahÂ² terutama player inisial Jawa dengan kearifan bertutur katanya yg sangat sopanâ˜ºï¸,2
Bad games,2
Susah,2
Tolong hapus invalid di rank mytik kalo tidak pihak yang tidak menyerah tetap tambanh bintang yang nyerah tidak hilang bintang terima kasih karna sangat membuang waktu.,2
Sering bgt kalah trus dikasih tim yg ga bisa main main di rank mytic di kasih tim rank epic pokoknya sesek sama sistem nya moonton,2
honor of king dah mau rilis wkwkwkwk.... Banyakin event skin gratis colector kalo bisa :),2
Mohon maaf pihak monton harap memperbaiki prihal bug yg terjadi saat dalam pertandingan sering jalan sendiri macet trs tiba-tiba setingan berubah sendiri harap di tingkat kan LG mohon kerjasamanya ðŸ™ðŸ™ðŸ™,2
yg komen bgus fix mentalnya kena kecewa sama draf sistemnya.,2
Seberapa banyak lu kasih skin gratis ke kita kita pasti pindah ke Honor of King kita semua cape dapat tim jelek rata rata bocil jokian yg main bb Ga ada yang mau main game lu lagi kecuali para bocil jokian sama penjoki,2
Kalau ada player afk atau feed kashi hukuman yang lebih berat dong cape ketemu orang orang begituan,2
Malah nambah Stress,2
Game ny burik gk guna ngasih tim yg bot game tolol,2
Plis dong kalo mvp jangan cuman di lihat dari kill Dead and asist nya doang liat juga koin nya level nya cara bermain nya Gk adil mana saya sering gk dapet asist Padahal selalu bantuin tim buat ngekill,2
Di tempat saya jaringannya kadang hilang jadi tolong untuk developer menambah batas pemulihan kredit skor dari 3 ke 6 karena tingkat pengurangan kredit skor sangat tinggi apalagi kalau kena report,2
kalo ngasih tim itu yg bener dong monton masak gw maen lose 15Ã— win cuman 5Ã— gema apaan tiap maen selalu di kasih tim yg TOLOL mulu paan kanjingud,2
Kurang bagus,2
menurut saya game ini harus di kembangkang lagi deh karna game ini suka gak jelas harus download secara tiba tiba jaringan sih paling parah lag banget padahal jaringan 70ms kebawah tapi kaya 201 ms jadi tolong perbaiki atau saya pindah game ke saja,2
Sinyal bgus kok tibaÂ² jadi merah gamenya gak enak bgt sekrg,2
Game apa nih pilih kasih kda gw aja 7.3.4 Di kasih coklat sedangkan temen gw mm kda 1.8.4 silver pilih kasih banget,2
halo min saya kasih bintang 4 untuk game ini. Game ini sudah bagus dari segi grafis apalagi yang iltra udah bagus banget. Heronya juga gak ada bug lagi yang aku temui,4
sejauh ini mobile legend bagus. Dan menurutku mlbb adalah permainan moba terbaik. Ada banyak sekali hero dengan berbagai role yang pengguna bisa kuasai,4
Aku suka banget dari sistem sudah bagus. Mobile legend moba terbaik,4
game nya sangat bagus menarik dan bisa membuat kita berpikir strategi,4
game ini adalah game favoritku dari dulu semoga game ini terus berkembang dan memperbanyak hero dan skinnya agar memiliki pengguna yang lebih banyak,4
terima kasih mobile legends. Sejauh ini masih jadi game terbaik meski banyak saingan game sesama moba baru,4
gamenya bagus. Mudah dimainkan banyak pilihan hero untuk dipakai dan banyak skin untuk dikoleksi,4
"game nya bagus sekali grafiknya bagus banget untuk ukuran game ringan, permainan sangat asik. Sehat selalu moonton",4
game mobile legends adalah game terbaik yang saya mainkan dari awal rilis sampe sekarang,4
mlbb sangat keren bagus. Banyak skin gratis yang dapat diperoleh dari event tertentu. Heronya jg bnyak,4
saya seneng banget main game ini selalu saya mainkan setiap saat dengan grafik yang semakin bagus,4
game nya keren palagi sekarang sedang ada event yg sangat menarik,4
setelah update keren. Jaringan stabil grafik mantap. Rekan satu tim juga udah seimbang luar biasa,4
game bagus banget dan grafis juga keren. Yg gak download rugi banget tidak boros baterai. Saya kasih bintang 5 karena terbukti bagus dan nyaman saat dimainkan,4
saya sangat senang untuk bermain game ini karena dapat mengisi waktu luang saya. Game nya keren deh pokoknya semangat terus moonton,4
wah permainan ini sangatlah keren dan menyengankan. Saya sudah menang beberapa kali. Terima kasih sudah membuat game yg sangat keren ini,4
"masih menjadi game seru sampai saat ini, apalagi sekarang event event gratis banyak banget makin buat pemain betah memainkannya",4
selain melatih komunikasi. Manfaat mobile legend adalah mengajarkan lo pentingnya kerja sama tim. Dan ini sangat berguna pada kehidupan sehari hari,4
gamenya bagus dan seru. Banyak hero yg bisa dimainkian. Grafik semakin bagus dari dulu,4
sangat seru saya suka dengan game ini karena bisa bermain bersama teman. Dan juga game ini memiliki grafis yang bagus dan bisa diatur,4
game ini seru banget bisa main bersam teman dan bisa dapat teman yang banyak dari gameini dan juga bisa menghasilkan bnyak uang dari game ini,4
"game ini direkomendasikan untuk dimainkan, arena banyak dan heronya banyak dan keren bagus banget",5
game play aman buat main enjoy grafik bagus,5
"gamenya sangat bagus dan keren. Saya suka sekali game ini karena mengajarkan kita untuk terus berjuang dan pantang menyerah, game mudah dipahami secara cepat",5
bagus. Saya suka desainnya saya suka model skin dan heronya. Penggunaannya juga gampang tidak ribe cara pemakaiannya.,5
saya suka game ini. Terima kasih sudah membuat waktu luangku menjafi lebih baik dan menyenangkan,5
Gem nya sangat bagus,5
Karena bagus dan cantik banget karakter nya,5
Game nya bagus banget dari segi gamplay grafik mekanik recomende sihðŸ‘ðŸ‘ðŸ‘,5
gamenya jujur seru banget. Sampe ketagihan sih mainnya. Karena dari segi grafik bagus nyaman semagat terus pak moonton,5
game yang sangat bagus untuk melatih kewarasan,5
"permainannya bagus saya suka, bisa dimainnkan walaupun data mati",5
permainanya sangat bagus eventnya juga menarik ditambah lagi grafiknya bagus banget kalian gak bakal nyesel downloadnya,5
Game nya seruðŸ˜ŠðŸ˜ŠðŸ˜ŠðŸ˜Šâ¤â¤â¤ðŸ˜ŽðŸ˜ŽðŸ˜ðŸ¤©,5
bagus sekali,5
Bagus kok game ya,5
game moba yang menurut saya paling keren dan kece. Even yang selalu update dan ganti setiap bulan jadi bikin pengguna tidak bosan,5
Aku suka game ini,5
