rawContent,caseFolding,cleaning,tokenizing,stopword,normalized,stemmed
Aplikasi ini lumayan untuk melihat nomor kita di namain apa,aplikasi ini lumayan untuk melihat nomor kita di namain apa,aplikasi ini lumayan untuk melihat nomor kita di namain apa,"['aplikasi', 'ini', 'lumayan', 'untuk', 'melihat', 'nomor', 'kita', 'di', 'namain', 'apa']","['aplikasi', 'lumayan', 'nomor', 'namain']","['aplikasi', 'lumayan', 'nomor', 'namain']","['aplikasi', 'lumayan', 'nomor', 'namain']"
Apaan ini aplikasi baru aja mau daftar malah logout,apaan ini aplikasi baru aja mau daftar malah logout,apaan ini aplikasi baru aja mau daftar malah logout,"['apaan', 'ini', 'aplikasi', 'baru', 'aja', 'mau', 'daftar', 'malah', 'logout']","['aplikasi', 'daftar', 'logout']","['aplikasi', 'daftar', 'logout']","['aplikasi', 'daftar', 'logout']"
Saya suka banget sama aplikasi getcontact ini the best pokoknya,saya suka banget sama aplikasi getcontact ini the best pokoknya,saya suka banget sama aplikasi getcontact ini the best pokoknya,"['saya', 'suka', 'banget', 'sama', 'aplikasi', 'getcontact', 'ini', 'the', 'best', 'pokoknya']","['suka', 'banget', 'aplikasi', 'getcontact', 'the', 'best', 'pokoknya']","['suka', 'banget', 'aplikasi', 'getcontact', 'the', 'best', 'pokoknya']","['suka', 'banget', 'aplikasi', 'getcontact', 'the', 'best', 'pokok']"
sangat membantu supaya tidak ada panggilan penipuan lagi,sangat membantu supaya tidak ada panggilan penipuan lagi,sangat membantu supaya tidak ada panggilan penipuan lagi,"['sangat', 'membantu', 'supaya', 'tidak', 'ada', 'panggilan', 'penipuan', 'lagi']","['membantu', 'panggilan', 'penipuan']","['membantu', 'panggilan', 'penipuan']","['bantu', 'panggil', 'tipu']"
Bagus banget aplikasinya cukup membantu,bagus banget aplikasinya cukup membantu,bagus banget aplikasinya cukup membantu,"['bagus', 'banget', 'aplikasinya', 'cukup', 'membantu']","['bagus', 'banget', 'aplikasinya', 'membantu']","['bagus', 'banget', 'aplikasinya', 'membantu']","['bagus', 'banget', 'aplikasi', 'bantu']"
"Bagus banget, bisa membantu ketika ada nomor gk di kenal menghubungi 👍🏻👍🏻","bagus banget, bisa membantu ketika ada nomor gk di kenal menghubungi 👍🏻👍🏻",bagus banget bisa membantu ketika ada nomor gk di kenal menghubungi,"['bagus', 'banget', 'bisa', 'membantu', 'ketika', 'ada', 'nomor', 'gk', 'di', 'kenal', 'menghubungi']","['bagus', 'banget', 'membantu', 'nomor', 'gk', 'kenal', 'menghubungi']","['bagus', 'banget', 'membantu', 'nomor', 'gk', 'kenal', 'menghubungi']","['bagus', 'banget', 'bantu', 'nomor', 'gk', 'kenal', 'hubung']"
Semoga menjadi lebih baik dan sukses,semoga menjadi lebih baik dan sukses,semoga menjadi lebih baik dan sukses,"['semoga', 'menjadi', 'lebih', 'baik', 'dan', 'sukses']","['semoga', 'sukses']","['semoga', 'sukses']","['moga', 'sukses']"
Bagus banget wajib di coba,bagus banget wajib di coba,bagus banget wajib di coba,"['bagus', 'banget', 'wajib', 'di', 'coba']","['bagus', 'banget', 'wajib', 'coba']","['bagus', 'banget', 'wajib', 'coba']","['bagus', 'banget', 'wajib', 'coba']"
"Aplikasi yang bagus, cocok banget sama gw yang kepo sama nomor baru.","aplikasi yang bagus, cocok banget sama gw yang kepo sama nomor baru.",aplikasi yang bagus cocok banget sama gw yang kepo sama nomor baru,"['aplikasi', 'yang', 'bagus', 'cocok', 'banget', 'sama', 'gw', 'yang', 'kepo', 'sama', 'nomor', 'baru']","['aplikasi', 'bagus', 'cocok', 'banget', 'gw', 'kepo', 'nomor']","['aplikasi', 'bagus', 'cocok', 'banget', 'gw', 'kepo', 'nomor']","['aplikasi', 'bagus', 'cocok', 'banget', 'gw', 'kepo', 'nomor']"
"Sudah banget mau log in, biasanya mudah banget, knapa jadi gini sih ? Tolong diperbaiki lagi","sudah banget mau log in, biasanya mudah banget, knapa jadi gini sih ? tolong diperbaiki lagi",sudah banget mau log in biasanya mudah banget knapa jadi gini sih tolong diperbaiki lagi,"['sudah', 'banget', 'mau', 'log', 'in', 'biasanya', 'mudah', 'banget', 'knapa', 'jadi', 'gini', 'sih', 'tolong', 'diperbaiki', 'lagi']","['banget', 'log', 'mudah', 'banget', 'knapa', 'gini', 'tolong', 'diperbaiki']","['banget', 'log', 'mudah', 'banget', 'knapa', 'gini', 'tolong', 'diperbaiki']","['banget', 'log', 'mudah', 'banget', 'knapa', 'gin', 'tolong', 'baik']"
100% jelek banget ni apk dan jdi jelek ny itu smnjak di up,100% jelek banget ni apk dan jdi jelek ny itu smnjak di up,jelek banget ni apk dan jdi jelek ny itu smnjak di up,"['jelek', 'banget', 'ni', 'apk', 'dan', 'jdi', 'jelek', 'ny', 'itu', 'smnjak', 'di', 'up']","['jelek', 'banget', 'ni', 'apk', 'jdi', 'jelek', 'smnjak', 'up']","['jelek', 'banget', 'ni', 'apk', 'jdi', 'jelek', 'smnjak', 'up']","['jelek', 'banget', 'ni', 'apk', 'jdi', 'jelek', 'smnjak', 'up']"
Fasilitas yg gratisan sedikit,fasilitas yg gratisan sedikit,fasilitas yg gratisan sedikit,"['fasilitas', 'yg', 'gratisan', 'sedikit']","['fasilitas', 'gratisan']","['fasilitas', 'gratisan']","['fasilitas', 'gratis']"
"Knp get kontak harus membayar, pdhl sangat dibutuhkan","knp get kontak harus membayar, pdhl sangat dibutuhkan",knp get kontak harus membayar pdhl sangat dibutuhkan,"['knp', 'get', 'kontak', 'harus', 'membayar', 'pdhl', 'sangat', 'dibutuhkan']","['knp', 'get', 'kontak', 'membayar', 'pdhl', 'dibutuhkan']","['knp', 'get', 'kontak', 'membayar', 'pdhl', 'dibutuhkan']","['knp', 'get', 'kontak', 'bayar', 'pdhl', 'butuh']"
"Susah login, padahal jaringan bagus dan sudah berulang kali memVerifikasi ke watsaap juga tidak berhasil, lewat jalur lain bahkan lewat no tlpn pun tdk berhasil.","susah login, padahal jaringan bagus dan sudah berulang kali memverifikasi ke watsaap juga tidak berhasil, lewat jalur lain bahkan lewat no tlpn pun tdk berhasil.",susah login padahal jaringan bagus dan sudah berulang kali memverifikasi ke watsaap juga tidak berhasil lewat jalur lain bahkan lewat no tlpn pun tdk berhasil,"['susah', 'login', 'padahal', 'jaringan', 'bagus', 'dan', 'sudah', 'berulang', 'kali', 'memverifikasi', 'ke', 'watsaap', 'juga', 'tidak', 'berhasil', 'lewat', 'jalur', 'lain', 'bahkan', 'lewat', 'no', 'tlpn', 'pun', 'tdk', 'berhasil']","['susah', 'login', 'jaringan', 'bagus', 'berulang', 'kali', 'memverifikasi', 'watsaap', 'berhasil', 'jalur', 'no', 'tlpn', 'berhasil']","['susah', 'login', 'jaringan', 'bagus', 'berulang', 'kali', 'memverifikasi', 'watsaap', 'berhasil', 'jalur', 'no', 'tlpn', 'berhasil']","['susah', 'login', 'jaring', 'bagus', 'ulang', 'kali', 'verifikasi', 'watsaap', 'hasil', 'jalur', 'no', 'tlpn', 'hasil']"
