rawContent,status,kelas
Aplikasi ini lumayan untuk melihat nomor kita di namain apa,5,positif
Getcontact ini sangat berguna buat saya agar bisa melihat nomor yang tidak di kenal,5,positif
Saya suka banget sama aplikasi getcontact ini the best pokoknya,5,positif
sangat membantu supaya tidak ada panggilan penipuan lagi,5,positif
Bagus banget aplikasinya cukup membantu,5,positif
"Bagus banget, bisa membantu ketika ada nomor gk di kenal menghubungi",5,positif
Semoga menjadi lebih baik dan sukses,5,positif
Bagus banget wajib di coba,5,positif
"Aplikasi yang bagus, cocok banget sama gw yang kepo sama nomor baru.",5,positif
Bagus bisa tau klo ada nomor ga di kenal,5,positif
Bagus tapi suka ada yang premium,5,positif
Aplikasi yang sangat membantu kita dari Penipu2 jahanam,5,positif
Keren banget bisa melacak seseorang itu soap dari nomor telephone aja,5,positif
Mantap dan tepat sasaran plus membantu,5,positif
"Sangat membantu, mengidentifikasi, yg baik dan yg buruk. Tks.",5,positif
Tidak bisa login,2,negatif
"Uhh gk bisa di buka aplikasinya, sungguh mengecewakan sekali udh download nunggu sampai satu jam eh malah gk bisa aplikasinya, ngabis-ngabisin paketan aja",1,negatif
"Dulu apk nya baguss.. tapi sekarang bener makin jlk.. cuman login doang susah banget, semuanya gk bisa, yg paling gampang pke fb juga gk bisa",1,negatif
susah login nya tambah payah aplikasi nyaa,1,negatif
"Knp get kontak harus membayar, pdhl sangat dibutuhkan",1,negatif
"Ga bisa dikirim kode nya, padahal WhatsApp saya aktif huhu",1,negatif
Pengen bayar tarif harus punya kartu kredit atau PayPal.. Lewat pembayaran lain kaga bisa ya,1,negatif
"Susah login, padahal jaringan bagus dan sudah berulang kali memVerifikasi ke watsaap juga tidak berhasil, lewat jalur lain bahkan lewat no tlpn pun tdk berhasil.",1,negatif
Minta tolong hapus apk ini / getkontak di hapus dari play store yah karena menimbulkan kesalahan pahaman dan penipuan dan saya di save sama teman dengan nama yg tidak pantas dan menimbulkan temen yg sudah mempercayai saya seketika hilang kepercayaan itu kepada saya terimakasih,1,negatif
"Apaan dah, udh beli premium buat ngecek nomor malah disuruh beli lg, dasar!!!",1,negatif
100% jelek banget ni apk dan jdi jelek ny itu smnjak di up,1,negatif
"Sudah banget mau log in, biasanya mudah banget, knapa jadi gini sih ? Tolong diperbaiki lagi",1,negatif
"Saya mencoba login beberapa kali ttp tidak bisa , saya jg sudah mencoba masuk lewat google, email, dan FB ttp ditolak server",1,negatif
Tidak bisa memasukkan nomer vertivikasi,2,negatif
Apaan ini aplikasi baru aja mau daftar malah logout,2,negatif
